Default Unit of Measure,Item Code,Item Group,Item Name,Maintain Stock,Opening Stock,Brand,Shelf Life In Days,End of Life,Has Expiry Date,Barcode (Barcodes),Re-order Qty (Reorder level based on Warehouse),UOM (UOMs),Default Price List (Item Defaults)
Nos,161793,اكسسوارات,طقم نظارة مع سلس عدد 8 اشكال 1,1,0,,0,2099-12-31,0,6937501072004,,Nos,
Nos,161841,اكسسوارات,161841,1,0,,0,2099-12-31,0,6902025121231,,Nos,
Nos,161847,اكسسوارات,161847,1,0,,0,2099-12-31,0,6950151618477,,Nos,
Nos,165A,اكسسوارات,165A,1,0,,0,2099-12-31,0,2097281338975,,Nos,
Nos,16809,اكسسوارات,16809,1,0,,0,2099-12-31,0,3337875816809,,Nos,
Nos,16847,اكسسوارات,16847,1,0,,0,2099-12-31,0,3337875816847,,Nos,
Nos,1701,اكسسوارات,8851932469104,1,0,,0,2099-12-31,0,8851932469104,,Nos,
Nos,17026,اكسسوارات,17026,1,0,,0,2099-12-31,0,6920251117026,,Nos,
Nos,1703,اكسسوارات,5912676276076,1,0,,0,2099-12-31,0,5912676276076,,Nos,
Nos,1733,اكسسوارات,4116621761216,1,0,,0,2099-12-31,0,4116621761216,,Nos,
Nos,1735,اكسسوارات,6977925340419,1,0,,0,2099-12-31,0,6977925340419,,Nos,
Nos,1757,اكسسوارات,1196148130316,1,0,,0,2099-12-31,0,1196148130316,,Nos,
Nos,17948,اكسسوارات,17948,1,0,,0,2099-12-31,0,3066109417948,,Nos,
Nos,17994,اكسسوارات,17994,1,0,,0,2099-12-31,0,2025001617994,,Nos,
Nos,18223,اكسسوارات,18223,1,0,,0,2099-12-31,0,6912341618223,,Nos,
Nos,18380,اكسسوارات,18380,1,0,,0,2099-12-31,0,2025001618380,,Nos,
Nos,1872,اكسسوارات,1872,1,0,,0,2099-12-31,0,4800888221872,,Nos,
Nos,191004,اكسسوارات,191004,1,0,,0,2099-12-31,0,769915191004,,Nos,
Nos,201842,اكسسوارات,201842,1,0,,0,2099-12-31,0,3152200201842,,Nos,
Nos,2020,اكسسوارات,2020,1,0,,0,2099-12-31,0,4000202020,,Nos,
Nos,202020,اكسسوارات,202020,1,0,,0,2099-12-31,0,5000202020,,Nos,
Nos,202209,اكسسوارات,اقلام روج ميس ديم 2309,1,0,,0,2099-12-31,0,6913134202209,,Nos,
Nos,20243,اكسسوارات,باكت رموش طبيعي,1,0,,0,2099-12-31,0,6978941520243,,Nos,
