ID,Item Code,Price List,Rate,Currency,Selling,UOM,Buying,Item Name,Brand,Supplier
4f9826feff,3709,Standard Buying,35.0,SAR,0,Nos,1,3709,,
9c3cf17a9c,37101,Standard Buying,12.0,SAR,0,Nos,1,37101,,
b7aa44ee09,37190,Standard Buying,54.0,SAR,0,Nos,1,37190,,
293eac8e05,3737,Standard Selling SAR,15.20,SAR,1,,0,اساور مسمار,,
9b314cdb15,3737,Standard Buying,9.0,SAR,0,Nos,1,اساور مسمار,,
114b467f04,37897,Standard Buying,16.0,SAR,0,Nos,1,37897,,
ffa7463cfc,3817,Standard Buying,25.0,SAR,0,Nos,1,3817,,
0ce2a27015,38405,Standard Buying,15.0,SAR,0,Nos,1,38405,,
81a8e89def,38436,Standard Buying,15.0,SAR,0,Nos,1,38436,,
46289c75fa,38573,Standard Buying,16.0,SAR,0,Nos,1,38573,,
749fcf7ecc,38597,Standard Buying,12.0,SAR,0,Nos,1,38597,,
6859dcd278,38610,Standard Buying,15.0,SAR,0,Nos,1,38610,,
5f49d9ad23,38849,Standard Buying,12.0,SAR,0,Nos,1,38849,,
ff4147f231,38877,Standard Buying,4.16,SAR,0,Nos,1,38877,,
a9cfbd7442,39068,Standard Buying,15.0,SAR,0,Nos,1,39068,,
056683c06d,39523,Standard Buying,4.16,SAR,0,Nos,1,39523,,
f1da72dfef,39570,Standard Buying,5.0,SAR,0,Nos,1,39570,,
3550967a4f,39615,Standard Buying,4.16,SAR,0,Nos,1,39615,,
9de78176a9,400101,Standard Selling SAR,3.53,SAR,1,,0,قطب كرت نيو مارك,,
64f4540c58,400101,Standard Buying,1.67,SAR,0,Nos,1,قطب كرت نيو مارك,,
b12bf90730,40061,Standard Buying,2.33,SAR,0,Nos,1,40061,,
dae826edde,401184,Standard Buying,8.0,SAR,0,Nos,1,401184,,
0970150ada,40313,Standard Buying,25.0,SAR,0,Nos,1,40313,,
ff38109070,40358,Standard Selling SAR,4.65,SAR,1,,0,اقلام ديموند 9244,,
bc626bcab4,40358,Standard Buying,1.01,SAR,0,Nos,1,اقلام ديموند 9244,,
9d3b3d5e2a,40390,Standard Buying,10.0,SAR,0,Nos,1,40390,,
e8f62c524b,40400,Standard Buying,0.83,SAR,0,Nos,1,40400,,
9cde235cfc,40421,Standard Buying,35.0,SAR,0,Nos,1,40421,,
6a8be655ca,40831,Standard Buying,18.0,SAR,0,Nos,1,40831,,
d58080ddea,4091,Standard Buying,1.5,SAR,0,Nos,1,4091,,
5ba4b0e6e8,4114,Standard Buying,25.0,SAR,0,Nos,1,4114,,
b48f9942a6,4119,Standard Selling SAR,1.10,SAR,1,,0,اسفنج مائي,,
3c9edec71e,4119,Standard Buying,0.71,SAR,0,Nos,1,اسفنج مائي,,
01fbf6d933,41278,Standard Buying,18.0,SAR,0,Nos,1,41278,,
931ddc6042,41414,Standard Buying,60.0,SAR,0,Nos,1,41414,,
1abefeee84,41414,Standard Selling SAR,3.53,SAR,1,,0,قطب كرز,,
f8e33cf679,41414,Standard Buying,1.08,SAR,0,Nos,1,قطب كرز,,
8656e82fa5,41451,Standard Buying,1.38,SAR,0,Nos,1,41451,,
45080fa37d,41456,Standard Buying,10.0,SAR,0,Nos,1,41456,,
b550458086,43213,Standard Buying,12.0,SAR,0,Nos,1,43213,,
d65f6eb2d0,43558,Standard Selling SAR,32.00,SAR,1,,0,لمعه جسم فازلين,,
b524899246,43558,Standard Buying,25.0,SAR,0,Nos,1,لمعه جسم فازلين,,
9fffc20103,43788,Standard Buying,4.16,SAR,0,Nos,1,43788,,
2b87b58203,43825,Standard Buying,2.08,SAR,0,Nos,1,43825,,
a96239f507,43863,Standard Buying,1.38,SAR,0,Nos,1,43863,,
b325bec614,43930,Standard Buying,2.08,SAR,0,Nos,1,43930,,
9c15632669,44277,Standard Buying,1.17,SAR,0,Nos,1,44277,,
cefd8f33fd,447447,Standard Selling SAR,2.35,SAR,1,,0,كلبس كرز,,
a052bdd44b,447447,Standard Buying,1.58,SAR,0,Nos,1,كلبس كرز,,
4cc34b1507,45617,Standard Buying,20.5,SAR,0,Nos,1,45617,,
3cc12f2f1f,46122,Standard Buying,90.0,SAR,0,Nos,1,46122,,
7ac6d701df,46134,Standard Selling SAR,2.35,SAR,1,,0,اقلام كحل عريض ابيض+ازرق,,
5a400e01b0,46134,Standard Buying,0.92,SAR,0,Nos,1,اقلام كحل عريض ابيض+ازرق,,
742213e872,4646,Standard Buying,22.0,SAR,0,Nos,1,4646,,
6c6f230dd1,4653,Standard Buying,28.0,SAR,0,Nos,1,4653,,
05c9b404b9,4705,Standard Buying,8.45,SAR,0,Nos,1,4705,,
2123515c45,4747,Standard Buying,22.0,SAR,0,Nos,1,4747,,
b9d787f49a,47535,Standard Buying,2.08,SAR,0,Nos,1,47535,,
e00b26d6d2,478021,Standard Buying,6.43,SAR,0,Nos,1,478021,,
0ef295c8bf,4848,Standard Buying,8.5,SAR,0,Nos,1,4848,,
c1e85443c5,48538,Standard Buying,18.0,SAR,0,Nos,1,48538,,
9aff8402d8,49280,Standard Buying,2.75,SAR,0,Nos,1,49280,,
3e9c6ad33c,4949,Standard Buying,4.5,SAR,0,Nos,1,4949,,
c793317bcf,500081,Standard Buying,7.5,SAR,0,Nos,1,500081,,
e493f96dcf,500142,Standard Buying,10.43,SAR,0,Nos,1,500142,,
c2da1607e7,5009695,Standard Buying,4.05,SAR,0,Nos,1,5009695,,
