Item Code,Item Name,Raw Barcode,Clean Barcode,Changed
48538,48538,6903645548538,6903645548538,0
49280,49280,4928049280,4928049280,0
4949,4949,494949,494949,0
500081,500081,6294007500081,6294007500081,0
500142,500142,6294007500142,6294007500142,0
5009695,5009695,9853415009695,9853415009695,0
501316,501316,6294007501316,6294007501316,0
501323,501323,6294007501323,6294007501323,0
501330,501330,6294007501330,6294007501330,0
501446,501446,6294007501446,6294007501446,0
501989,501989,6294007501989,6294007501989,0
502689,502689,6294007502689,6294007502689,0
503211,503211,6294007503211,6294007503211,0
504218,504218,6294007504218,6294007504218,0
5044,5044,50445044,50445044,0
5050,5050,505050,505050,0
505215,505215,6294007505215,6294007505215,0
505413,505413,6294007505413,6294007505413,0
505512,505512,6294007505512,6294007505512,0
505710,505710,6294007505710,6294007505710,0
5058,5058,50585058,50585058,0
51062,51062,000006251062,000006251062,0
51147,51147,8901248451147,8901248451147,0
5115,5115,100115115,100115115,0
51222,51222,8901248451222,8901248451222,0
51260,51260,8901248451260,8901248451260,0
51392,51392,6946038651392,6946038651392,0
51415,51415,6946038651415,6946038651415,0
5151,5151,515151,515151,0
51515,51515,4000151515,4000151515,0
51515,51515,5000151515,5000151515,0
51574,51574,8901248451574,8901248451574,0
51611,51611,8901248451611,8901248451611,0
51712,51712,1929650451712,1929650451712,0
5252,5252,525252,525252,0
52664,اساور فرفشة,5252664,5252664,0
52665,اساور فرفشة منوعين,5252665,5252665,0
53191,قطب طقم حلق مدور ملون,5319153191,5319153191,0
5353,5353,535353,535353,0
54094,54094,3760237854094,3760237854094,0
54168,مصحح حواجب نوت+ برافو ليدي,6994626854168,6994626854168,0
5454,5454,545454,545454,0
55045,55045,50455045,50455045,0
552869,552869,5528699123923,5528699123923,0
55421,55421,5000655421,5000655421,0
5555,5555,555555,555555,0
5568,5568,55685568,55685568,0
55794,طقم سلوس فراشة,5579455794,5579455794,0
5581,طقم بناتي قلب,55815581,55815581,0
56109,56109,0506699456109,0506699456109,0
56210,56210,1617951256210,1617951256210,0
56213,56213,1617941256213,1617941256213,0
5656,5656,565656,565656,0
56649,56649,6985948556649,6985948556649,0
56787,56787,897865456456787,897865456456787,0
57370,57370,4342939057370,4342939057370,0
57374,57374,8901248257374,8901248257374,0
5757,5757,575757,575757,0
5762,اساور فان كليف,57625762,57625762,0
5786,5786,57865786,57865786,0
5801,5801,58015801,58015801,0
58174,58174,9112912458174,9112912458174,0
58439,58439,8992803658439,8992803658439,0
5858,5858,585858,585858,0
5897,5897,8888086785897,8888086785897,0
5959,5959,595959,595959,0
59684,59684,6291107459684,6291107459684,0
603132,603132,6926633603132,6926633603132,0
6060,6060,606060,606060,0
6116,6116,100116116,100116116,0
61172,61172,8809576261172,8809576261172,0
6145,سلوس بناتي كرزه,45248796145,45248796145,0
6151,6151,3499775636151,3499775636151,0
61616,61616,4000161616,4000161616,0
61616,61616,5000161616,5000161616,0
61839,61839,6920250161839,6920250161839,0
6265,6265,243A16265,243A16265,0
62662,ابيام فيونكة مع المراطق,662662662,662662662,0
62898,62898,156486456162898,156486456162898,0
63122,فرشم مكياج بيوتي,6952474163122,6952474163122,0
63531,كلبس كرز  2,000000063531,000000063531,0
6377,6377,100106377,100106377,0
6386,6386,100106386,100106386,0
6400,6400,100106400,100106400,0
6432,6432,100106432,100106432,0
6437,6437,100106437,100106437,0
6477,6477,8809875456477,8809875456477,0
67,سلس,2225638789310,2225638789310,0
67122,67122,6281006567122,6281006567122,0
67217,67217,6291106067217,6291106067217,0
67224,67224,6291106067224,6291106067224,0
6767,باكت مسكرة رومنتك جديد,6971204786110,6971204786110,0
68160,68160,6972943768160,6972943768160,0
6831,مورد يارا,6957834806831,6957834806831,0
6868,باكت مسكرة سفن دي الأصلي,6971204785984,6971204785984,0
690442578301,690442578301,6904425783019,6904425783019,0
694605123971,694605123971,6946051239713,6946051239713,0
70009,70009,8809416470009,8809416470009,0
70016,70016,8809416470016,8809416470016,0
7079,7079,9944185070797,9944185070797,0
708,سلوس 1,8459425957314,8459425957314,0
7117,7117,100117117,100117117,0
71425,71425,6912316171425,6912316171425,0
71717,71717,4000171717,4000171717,0
71717,71717,5000171717,5000171717,0
72,وهمي,1705217677777,1705217677777,0
7210,7210,3337875597210,3337875597210,0
721496,721496,8410664651975,8410664651975,0
721497,721497,1277080562172,1277080562172,0
721501,721501,3970357621500,3970357621500,0
721502,721502,5256367739854,5256367739854,0
721587,721587,721587-3,721587,1
721588,721588,721588-2,721588,1
721589,721589,721589-2,721589,1
